datetime,discharge_cms,,,,
1973/05/21,1030,,,,
1973/05/22,1070,,,,
1973/05/23,1210,,,,
1973/05/24,1420,,,,
1973/05/25,1550,,,,
1973/05/26,1600,,,,
1973/05/27,1570,,,,
1973/05/28,1460,,,,
1973/05/29,1350,,,,
1973/05/30,1270,,,,
1973/05/31,1300,,,,
1973/06/01,1540,,,,
1973/06/02,1790,,,,
1973/06/03,2010,,,,
1973/06/04,2060,,,,
1973/06/05,2000,,,,
1973/06/06,1970,,,,
1973/06/07,1950,,,,
1973/06/08,1880,,,,
1973/06/09,1850,,,,
1973/06/10,1890,,,,
1973/06/11,1890,,,,
1973/06/12,1900,,,,
1973/06/13,1910,,,,
1973/06/14,1940,,,,
1973/06/15,1880,,,,
1973/06/16,1790,,,,
1973/06/17,1910,,,,
1973/06/18,2330,,,,
1973/06/19,2560,,,,
1973/06/20,2630,,,,
1973/06/21,2690,,,,
1973/06/22,2670,,,,
1973/06/23,2510,,,,
1973/06/24,2290,,,,
1973/06/25,2120,,,,
1973/06/26,1980,,,,
1973/06/27,1880,,,,
1973/06/28,1830,,,,
1973/06/29,1920,,,,
1973/06/30,2340,,,,
1973/07/01,2530,,,,
1973/07/02,2410,,,,
1973/07/03,2180,,,,
1973/07/04,2000,,,,
1973/07/05,1880,,,,
1973/07/06,1780,,,,
1973/07/07,1690,,,,
1973/07/08,1600,,,,
1973/07/09,1530,,,,
1973/07/10,1470,,,,
1973/07/11,1460,,,,
1973/07/12,1510,,,,
1973/07/13,1560,,,,
1973/07/14,1540,,,,
1973/07/15,1500,,,,
1973/07/16,1440,,,,
1973/07/17,1380,,,,
1973/07/18,1360,,,,
1973/07/19,1380,,,,
1973/07/20,1330,,,,
1973/07/21,1260,,,,
1973/07/22,1210,,,,
1973/07/23,1210,,,,
1973/07/24,1220,,,,
1973/07/25,1190,,,,
1973/07/26,1150,,,,
1973/07/27,1120,,,,
1973/07/28,1120,,,,
1973/07/29,1150,,,,
1973/07/30,1160,,,,
1973/07/31,1160,,,,
1973/08/01,1120,,,,
1973/08/02,1140,,,,
1973/08/03,1010,,,,
1973/08/04,994,,,,
1973/08/05,1020,,,,
1973/08/06,1030,,,,
1973/08/07,1130,,,,
1973/08/08,1490,,,,
1973/08/09,1830,,,,
1973/08/10,1950,,,,
1973/08/11,1980,,,,
1973/08/12,2000,,,,
1973/08/13,2000,,,,
1973/08/14,1920,,,,
1973/08/15,1780,,,,
1973/08/16,1650,,,,
1973/08/17,1570,,,,
1973/08/18,1510,,,,
1973/08/19,1420,,,,
1973/08/20,1350,,,,
1973/08/21,1290,,,,
1973/08/22,1240,,,,
1973/08/23,1220,,,,
1973/08/24,1220,,,,
1973/08/25,1190,,,,
1973/08/26,1230,,,,
1973/08/27,1080,,,,
1973/08/28,1020,,,,
1973/08/29,977,,,,
1973/08/30,949,,,,
1973/08/31,932,,,,
1973/09/01,915,,,,
1973/09/02,895,,,,
1973/09/03,875,,,,
1973/09/04,855,,,,
1973/09/05,838,,,,
